StockCode,Probabilidade_Subida
PETR4,0.741952566309331
ITUB4,0.6898628331872062
SUZB3,0.662799880652124
PRIO3,0.6096665947601392
WEGE3,0.6041186093814626
PETR3,0.6032409578479175
MGLU3,0.6029321143270683
ITSA4,0.5941890489613126
RENT3,0.5847231633471726
ABEV3,0.581907890992425
BBSE3,0.5646865139523087
RAIL3,0.5512994727838677
BRFS3,0.5473561511967296
TIMS3,0.5463932709601377
JBSS3,0.5448204006171222
EMBR3,0.5438546302450358
LREN3,0.5424720407314657
RADL3,0.5390911301894634
USIM5,0.5390742560711854
RRRP3,0.5340910941284854
CIEL3,0.5337913352132739
HYPE3,0.5284268904518782
MULT3,0.5275950539357289
CCRO3,0.5271972663710569
CPLE6,0.5267561001068642
ONCO3,0.5259321595255612
VBBR3,0.5229946021951792
TOTS3,0.522722464106589
NTCO3,0.5222773419433303
STBP3,0.5215681378926637
RDOR3,0.5202337208157245
UGPA3,0.5200157896744073
ASAI3,0.5189703487186734
SMFT3,0.5153667490403131
MRVE3,0.5151217458915129
VAMO3,0.5144340818631197
POMO4,0.5142415340325969
YDUQ3,0.5139597376685584
EGIE3,0.5136776281804285
DIRR3,0.5128963825120897
CXSE3,0.5128892334387528
CPLE3,0.5114315732377053
ENAT3,0.5106456047086834
ODPV3,0.5105393909604721
MRFG3,0.5103079043528965
IRBR3,0.5099730541292573
GGPS3,0.5090545923039823
ELET6,0.5087733663221062
CRFB3,0.5086691350563678
SLCE3,0.5084503956771929
COGN3,0.5079071587920636
MOVI3,0.5078056913263587
PETZ3,0.5076051958182113
RECV3,0.5075649519877333
BRKM5,0.5075049453145176
CURY3,0.5074861366034267
ECOR3,0.5074185060000503
GMAT3,0.5066305770696681
CEAB3,0.5065462312629535
FLRY3,0.5059532699034692
VLID3,0.5055992239287733
RAPT4,0.5055985044299711
SMTO3,0.5055448143990322
ALPA4,0.5049775753887261
BHIA3,0.5048613829238474
EZTC3,0.5047777138690712
MYPK3,0.5046254524319028
MILS3,0.5046199564732984
AMBP3,0.5042685154815024
