StockCode,Probabilidade_Subida
VVEO3F,0.5000030448517805
BRIT3F,0.5000025877743759
PGMN3F,0.5000022574337768
OPCT3F,0.5000020519290083
SNSY3,0.5000019347528724
TFCO4F,0.5000015457783227
OSXB3,0.5000014501500786
ZAMP3F,0.5000014294797442
EPAR3F,0.5000014171635406
LUXM4,0.5000012877015289
MATD3F,0.5000011557738316
LAND3F,0.5000010376740487
BMKS3,0.5000009758644818
CRPG6F,0.5000009037318415
REDE3,0.5000008411968161
HBRE3F,0.5000007604083735
BMEB3,0.5000007467147377
SEQL3F,0.500000621723512
BIBB39,0.50000057010284
CTKA4,0.5000005333676276
ESPA3F,0.5000004868974771
MBLY3F,0.5000003659510286
LVTC3F,0.5000002562876186
ESTR4,0.5000000609561766
BILF39,0.5000000145838226
BIJH39,0.5000000140138937
WEST3F,0.5000000058762081
